strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
Japan/MX23-010-1-P0/202X_DNA|LC852829.1|2022-07-25	LC852829.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834607	Japan/MX23-010-1-P0/202X DNA			B.1
Japan/MX23-013-1-P0/202X_DNA|LC852830.1|2022-07-25	LC852830.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834608	Japan/MX23-013-1-P0/202X DNA			C.1
Japan/MX23-014-2-P0/2023_DNA|LC852831.1|2023-03-27	LC852831.1	2023-03-27	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834609	Japan/MX23-014-2-P0/2023 DNA			C.1
Japan/MX23-015-1-P0/2023_DNA|LC852832.1|2023-04-03	LC852832.1	2023-04-03	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834610	Japan/MX23-015-1-P0/2023 DNA			C.1
Japan/MX23-016-1-P0/2023_DNA|LC852833.1|2023-04-03	LC852833.1	2023-04-03	Japan		197203	Homo sapiens	PRJDB16992	SAMD00834611	Japan/MX23-016-1-P0/2023 DNA			C.1
Japan/MX23-019-1-P0/2023_DNA|LC852834.1|2023-05-15	LC852834.1	2023-05-15	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834612	Japan/MX23-019-1-P0/2023 DNA			C.1
Japan/MX23-020-1-P0/2023_DNA|LC852835.1|2023-05-15	LC852835.1	2023-05-15	Japan		197205	Homo sapiens	PRJDB16992	SAMD00834613	Japan/MX23-020-1-P0/2023 DNA			C.1
Japan/MX23-021-1-P0/2023_DNA__nearly_complete_genome|LC852836.1|2023-05-15	LC852836.1	2023-05-15	Japan		197201	Homo sapiens	PRJDB16992	SAMD00834614	Japan/MX23-021-1-P0/2023 DNA, nearly complete genome			C.1
Japan/MX23-022-2-P0/2023_DNA|LC855211.1|2023-06-19	LC855211.1	2023-06-19	Japan		197205	Homo sapiens	PRJDB16992	SAMD00849938	Japan/MX23-022-2-P0/2023 DNA			C.1
Japan/MX23-023-1-P0/2023_DNA|LC855212.1|2023-06-19	LC855212.1	2023-06-19	Japan		197206	Homo sapiens	PRJDB16992	SAMD00849939	Japan/MX23-023-1-P0/2023 DNA			C.1
Japan/MX23-025-01-P0/2023_DNA|LC855213.1|2023-08-21	LC855213.1	2023-08-21	Japan		197205	Homo sapiens	PRJDB16992	SAMD00849940	Japan/MX23-025-01-P0/2023 DNA			C.1.2
Japan/MX23-028-01-P0/2023_DNA|LC855214.1|2023-09-25	LC855214.1	2023-09-25	Japan		197206	Homo sapiens	PRJDB16992	SAMD00849941	Japan/MX23-028-01-P0/2023 DNA			C.1
Japan/MX24-004-01-P0/2024_DNA__nearly_complete_genome|LC855215.1|2024-01-29	LC855215.1	2024-01-29	Japan		197207	Homo sapiens	PRJDB16992	SAMD00849942	Japan/MX24-004-01-P0/2024 DNA, nearly complete genome			C.1
Japan/MX24-005-01-P0/2024_DNA__nearly_complete_genome|LC855216.1|2024-01-29	LC855216.1	2024-01-29	Japan		197207	Homo sapiens	PRJDB16992	SAMD00849943	Japan/MX24-005-01-P0/2024 DNA, nearly complete genome			C.1
hMpoxV/Japan/MX24-002-01/202X_DNA|LC876638.1|2023-12-04	LC876638.1	2023-12-04	Japan		197203	Homo sapiens	PRJDB16992	SAMD00886242	hMpoxV/Japan/MX24-002-01/202X DNA			C.1.3
hMpoxV/Japan/MX24-004-01/2024_DNA|LC876639.1|2024-01-29	LC876639.1	2024-01-29	Japan		196118	Homo sapiens	PRJDB16992	SAMD00886243	hMpoxV/Japan/MX24-004-01/2024 DNA			C.1
hMpoxV/Japan/MX24-005-01/2024_DNA|LC876640.1|2024-01-29	LC876640.1	2024-01-29	Japan		196118	Homo sapiens	PRJDB16992	SAMD00886244	hMpoxV/Japan/MX24-005-01/2024 DNA			C.1
hMpoxV/Japan/MX23-001-01/202X_DNA__nearly_complete_genome|LC876641.1|2022-07-25	LC876641.1	2022-07-25	Japan		197197	Homo sapiens	PRJDB16992	SAMD00886216	hMpoxV/Japan/MX23-001-01/202X DNA, nearly complete genome			C.1
hMpoxV/Japan/MX23-001-02/202X_DNA|LC876642.1|2022-07-25	LC876642.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886217	hMpoxV/Japan/MX23-001-02/202X DNA			C.1
hMpoxV/Japan/MX23-002-01/202X_DNA|LC876643.1|2022-07-25	LC876643.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886218	hMpoxV/Japan/MX23-002-01/202X DNA			C.1
hMpoxV/Japan/MX23-002-02/202X_DNA|LC876644.1|2022-07-25	LC876644.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886219	hMpoxV/Japan/MX23-002-02/202X DNA			C.1
hMpoxV/Japan/MX23-002-03/2023_DNA|LC876645.1|2023-01-30	LC876645.1	2023-01-30	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886220	hMpoxV/Japan/MX23-002-03/2023 DNA			C.1
hMpoxV/Japan/MX23-003-01/2023_DNA|LC876646.1|2023-01-30	LC876646.1	2023-01-30	Japan		197204	Homo sapiens	PRJDB16992	SAMD00886221	hMpoxV/Japan/MX23-003-01/2023 DNA			C.1
hMpoxV/Japan/MX23-004-01/2023_DNA|LC876647.1|2023-01-30	LC876647.1	2023-01-30	Japan		197203	Homo sapiens	PRJDB16992	SAMD00886222	hMpoxV/Japan/MX23-004-01/2023 DNA			C.1
hMpoxV/Japan/MX23-005-02/2023_DNA|LC876648.1|2023-02-27	LC876648.1	2023-02-27	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886223	hMpoxV/Japan/MX23-005-02/2023 DNA			C.1
hMpoxV/Japan/MX23-006-02/2023_DNA|LC876649.1|2023-02-27	LC876649.1	2023-02-27	Japan		197204	Homo sapiens	PRJDB16992	SAMD00886224	hMpoxV/Japan/MX23-006-02/2023 DNA			C.1
hMpoxV/Japan/MX23-008-01/2023_DNA|LC876650.1|2023-03-13	LC876650.1	2023-03-13	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886225	hMpoxV/Japan/MX23-008-01/2023 DNA			C.1
hMpoxV/Japan/MX23-009-01/2023_DNA|LC876651.1|2023-03-13	LC876651.1	2023-03-13	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886226	hMpoxV/Japan/MX23-009-01/2023 DNA			C.1
hMpoxV/Japan/MX23-010-01/202X_DNA|LC876652.1|2022-07-25	LC876652.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886227	hMpoxV/Japan/MX23-010-01/202X DNA			B.1
hMpoxV/Japan/MX23-012-01/202X_DNA|LC876653.1|2022-07-25	LC876653.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886228	hMpoxV/Japan/MX23-012-01/202X DNA			B.1
hMpoxV/Japan/MX23-013-01/202X_DNA|LC876654.1|2022-07-25	LC876654.1	2022-07-25	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886229	hMpoxV/Japan/MX23-013-01/202X DNA			C.1
hMpoxV/Japan/MX23-014-02/2023_DNA|LC876655.1|2023-03-27	LC876655.1	2023-03-27	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886230	hMpoxV/Japan/MX23-014-02/2023 DNA			C.1
hMpoxV/Japan/MX23-015-01/2023_DNA|LC876656.1|2023-04-03	LC876656.1	2023-04-03	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886231	hMpoxV/Japan/MX23-015-01/2023 DNA			C.1
hMpoxV/Japan/MX23-016-01/2023_DNA|LC876657.1|2023-04-03	LC876657.1	2023-04-03	Japan		197203	Homo sapiens	PRJDB16992	SAMD00886232	hMpoxV/Japan/MX23-016-01/2023 DNA			C.1
hMpoxV/Japan/MX23-017-01/2023_DNA|LC876658.1|2023-04-10	LC876658.1	2023-04-10	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886233	hMpoxV/Japan/MX23-017-01/2023 DNA			C.1
hMpoxV/Japan/MX23-019-01/2023_DNA|LC876659.1|2023-05-15	LC876659.1	2023-05-15	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886234	hMpoxV/Japan/MX23-019-01/2023 DNA			C.1
hMpoxV/Japan/MX23-020-01/2023_DNA|LC876660.1|2023-05-15	LC876660.1	2023-05-15	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886235	hMpoxV/Japan/MX23-020-01/2023 DNA			C.1
hMpoxV/Japan/MX23-021-01/2023_DNA__nearly_complete_genome|LC876661.1|2023-05-15	LC876661.1	2023-05-15	Japan		191684	Homo sapiens	PRJDB16992	SAMD00886236	hMpoxV/Japan/MX23-021-01/2023 DNA, nearly complete genome			C.1
hMpoxV/Japan/MX23-022-02/2023_DNA|LC876662.1|2023-06-19	LC876662.1	2023-06-19	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886237	hMpoxV/Japan/MX23-022-02/2023 DNA			C.1
hMpoxV/Japan/MX23-023-01/2023_DNA|LC876663.1|2023-06-19	LC876663.1	2023-06-19	Japan		197206	Homo sapiens	PRJDB16992	SAMD00886238	hMpoxV/Japan/MX23-023-01/2023 DNA			C.1
hMpoxV/Japan/MX23-025-01/2023_DNA|LC876664.1|2023-08-21	LC876664.1	2023-08-21	Japan		197205	Homo sapiens	PRJDB16992	SAMD00886239	hMpoxV/Japan/MX23-025-01/2023 DNA			C.1.2
hMpoxV/Japan/MX23-026-01/2023_DNA|LC876665.1|2023-08-21	LC876665.1	2023-08-21	Japan		197203	Homo sapiens	PRJDB16992	SAMD00886240	hMpoxV/Japan/MX23-026-01/2023 DNA			C.1.2
hMpoxV/Japan/MX23-028-01/2023_DNA|LC876666.1|2023-09-25	LC876666.1	2023-09-25	Japan		197206	Homo sapiens	PRJDB16992	SAMD00886241	hMpoxV/Japan/MX23-028-01/2023 DNA			C.1
Nig_2017_297957|MG693723.1|2017	MG693723.1	2017	Nigeria		182482	Homo sapiens			Nig_2017_297957	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	29361427	A.3
Nig_2017_298464|MG693724.1|2017	MG693724.1	2017	Nigeria		183055	Homo sapiens			Nig_2017_298464	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	29361427	A
MPX_Nig_2017_298481|MG693725.1|2017	MG693725.1	2017	Nigeria		180828	Homo sapiens			MPX_Nig_2017_298481	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	29361427	A
3018|MK783027.1|2017-11-09	MK783027.1	2017-11-09	Nigeria	Rivers State	197566	Homo sapiens			3018	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
3019|MK783028.1|2017-11-09	MK783028.1	2017-11-09	Nigeria	Rivers State	197566	Homo sapiens			3019	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
3029|MK783029.1|2017-12-06	MK783029.1	2017-12-06	Nigeria	Rivers State	197566	Homo sapiens			3029	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
3025|MK783030.1|2017-11-30	MK783030.1	2017-11-30	Nigeria	Rivers State	197566	Homo sapiens			3025	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
3020|MK783031.1|2017-11-09	MK783031.1	2017-11-09	Nigeria	Rivers State	197566	Homo sapiens			3020	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
3030|MK783032.1|2017-11	MK783032.1	2017-11	Nigeria	Rivers State	197566	Homo sapiens			3030	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A
2920|MK783033.1|2017-10-09	MK783033.1	2017-10-09	Nigeria	Rivers State	197566	Homo sapiens			2920	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	31285143	A.3
Israel_2018|MN648051.1|2018-10-04	MN648051.1	2018-10-04	Israel		197417	Homo sapiens			Israel_2018	Cohen Gihon,I., Israeli,O., Shifman,O., Erez,N., Melamed,S., Paran,N., Beth-Din,A., Zvi,A.		A.1
Singapore_2019|MT250197.1|2019	MT250197.1	2019	Singapore		197551	Homo sapiens			Singapore 2019	Yong,S.E.F., Ng,O.T., Ho,Z.J.M., Mak,T.M., Marimuthu,K., Vasoo,S., Yeo,T.W., Ng,Y.K., Cui,L., Ferdous,Z., Chia,P.Y., Aw,B.J.W., Manauis,C.M., Low,C.K.K., Chan,G., Peh,X., Lim,P.L., Chow,L.P.A., Chan,M., Lee,V.J.M., Lin,R.T.P., Heng,M.K.D., Leo,Y.S., Octavia,S., Chen,B.B.	32338590	A.1
M2940_FCT|MT903337.1|2018	MT903337.1	2018	Nigeria	FCT	197547	Homo sapiens			M2940_FCT	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A
M3021_Delta|MT903339.1|2018	MT903339.1	2018	Nigeria	Delta State	197556	Homo sapiens			M3021_Delta	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A
M5312_HM12_Rivers|MT903340.1|2018	MT903340.1	2018	Nigeria	Rivers State	197209	Homo sapiens			M5312_HM12_Rivers	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A
M5320_M15_Bayelsa|MT903341.1|2018-08-14	MT903341.1	2018-08-14	Nigeria	Bayelsa State	185309	Homo sapiens			M5320_M15_Bayelsa	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A.1
Singapore|MT903342.1|2019-04-30	MT903342.1	2019-04-30	Singapore		197309	Homo sapiens			Singapore	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A.1
UK_P1|MT903343.1|2018-09	MT903343.1	2018-09	United Kingdom	Great Britain	197134	Homo sapiens			UK_P1	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	32880628	A.1
